cd_cnpj,nm_razao_social
05996650000152,TRANS GARIBALDI TRANSPORTES LTDA
06001276000170,RONEW TRANSPORTES LTDA
06056671000150,ASILOG TRANSPORTES LTDA
06079512000171,LIFTING TRANSPORTES LTDA
61255375000132,DOM DIVINO TRANSPORTES LTDA
06179425000196,BEL TRANSPORTES LTDA
06186733000220,EXATA CARGO LTDA
06290466000155,FLAP LOGISTICA LTDA
06317462000113,NIT LAGOS TRANSPORTES LTDA
06320623000128,TIGRO TRANSPORTADORA LTDA
06864026000164,NASP LOGISTICA E TRANSPORTES LTDA
06885869000147,DL TRANSPORTES LTDA
06915050000185,GRYCAMP TRANSPORTES LTDA
06975242000187,LOG FRIO LOGISTICA LTDA
06989879000122,CLAROS TRANSPORTES EIRELI
06995647000187,LOG EXPRESS TRANSPORTES LTDA
07043293000133,LOBATRANS TRANSPORTES LTDA
07049053000146,OBJETIVA TRANSPORTES LTDA
07083324000180,FLASH CAMP TRANSPORTES LTDA
07095535000132,SUL EX TRANSPORTES LTDA
07136315000100,POTENZA TRANSPORTES LTDA
07172751000134,FOBA TRANSPORTES LTDA
07182059000197,MAYNARD TRANSPORTES LTDA
07235562000163,TRANSPICHORRA TRANSPORTES LTDA
07284039000127,EMJ TRANSPORTES E LOGISTICA EIRELI
07341344000103,RODOGHEL TRANSPORTES LTDA
07353607000102,CARPO LOGISTICS LTDA
07378604000115,FD TRANSPORTES LTDA
07420253000163,MELITTIO TRANSPORTES LTDA
07487162000145,NAGAMI TRANSPORTES LTDA
07494241000183,DOCA TRANSPORTES LTDA
07549771000181,NT TRANSPORTES LTDA
07551238000154,IUGAS MUDANCAS E TRANSPORTES LTDA
07616227000105,ALBERIS TRANSPORTES LTDA
07687696000115,TRANS SABES MUDANCAS E TRANSPORTES EIRELI
07710132000156,MASQUETI TRANSPORTES LTDA
07715580000142,DICA MOVIMENTACOES LTDA
07717548000104,ASR TRANSPORTES JUNDIAI LTDA
07797011000193,CAZAN TRANSPORTES LTDA
07865701000132,ALA LOGISTICA E TRANSPORTES LTDA
07876409000115,LANDRICO MINAS LTDA
07985888000108,CJR TRANSPORTES LTDA
08045747000178,LOG 10 TRANSPORTES LTDA
08065722000136,RD LOG TRANSPORTE E LOGISTICA LTDA
08098211000110,FINTRANS TRANSPORTES LTDA
08133373000142,INTEGRACAO TRANSPORTES LTDA
08148052000111,LMB TRANSPORTES LTDA
08152463000180,SOL A SOL TRANSPORTES EIRELI
08165642000152,GAT LOGISTICA LTDA
08178070000146,SUL RIO TRANSPORTES LTDA
08212936000198,GUSMAO LOGISTICA LTDA
08262037000108,ZIYAD TRANSPORTES LTDA
08272690000140,RANAKOSKI TRANSPORTES EIRELI
08300577000120,TRANSMUDE TRANSPORTES LTDA
08366872000180,ASAP TRANSPORTES LTDA
08457322000176,VHZ TRANSPORTE E LOGISTICA EIRELI
08505413000130,JC SPAGNOL TRANSPORTES LTDA
08636848000113,TRANSAMEX EXPRESSO RODOVIARIO EIRELI
08641621000166,GERKA TRANSPORTES DE CARGAS LTDA
08683523000191,TRANSOFI TRANSPORTES EIRELI
08874910000105,EXPERTISE TRANSPORTES RAPIDOS EIRELI
08896056000188,AVAPEX TRANSPORTES LTDA
09002604000141,VIA 80 TRANSPORTES EIRELI
09012502000107,TRANSUNI ENCOMENDAS E CARGAS LTDA
09026580000160,VANOPEX TRANSPORTES LTDA
09096230000170,VERTICO TRANSLOGISTICA LTDA
09105476000161,STRATTOS TRANSPORTES LTDA
09187372000143,SUZANLOG LOGISTICA LTDA
09272560000170,TWR TRANSPORTADORA EIRELI
09398013000135,TRANSTEC EXPRESS LTDA
09421985000101,GOES TRANSPORTES LTDA
09470234000177,SUPORTELOG TRANSPORTES EIRELI
09470304000197,SIDCAR TRANSPORTES LTDA
09491638000147,ROTA 381 TRANSPORTES LTDA
09502635000161,TRANS HERDEIRO LTDA
09537827000103,TNB TRANSPORTES LTDA
09540879000139,CAZUZA EXPRESS TRANSPORTES EIRELI
09551186000141,YPE MUDANCAS E TRANSPORTES EIRELI
09558319000101,MCU EXPRESS TRANSPORTES LTDA
09606784000170,FEROZ LOGISTICA LTDA ME
09609877000159,EDS SOLUCOES LOGISTICAS EIRELI
09616777000150,LOGIN LOGISTICA INTEGRADA LTDA
09626662000146,AGORA EXPRESS LTDA
09629489000130,NUMERO 1 TRANSPORTES DE CARGAS LTDA
09942022000145,MELLO TRANSPORTES LTDA
10233634000148,ABC CARGAS EXPRESS LTDA
10273317000155,COTLOG SOLUCOES LOGISTICAS LTDA
10299567000164,VELOCE LOGISTICA SA
10322533000143,TUPILOG TRANSPORTES E LOGISTICA LTDA
10331689000190,PUGLICAR TRANSPORTE E LOGISTICA LTDA
10452973000115,GUERIAL TRANSPORTES LTDA
10461843000149,ACO TRANS TRANSPORTES LTDA
10474360000189,UNI TRANSPORTES LTDA
10475991000112,VAIVEM TRANSPORTES LTDA
10526038000156,SOLO BRASIL TRANSPORTES LTDA
10608283000102,LOGISTIC COMPANY TRANSPORTES LTDA
10616513000185,UAS TRANSPORTES LTDA
10619353000128,COURIER TRANSDEX LTDA
10686066000130,ILSON JOSE BRAUNN
10695486000183,SABIO TRANSPORTES LTDA
10700543000175,MENGUE EXPRESS EIRELI
10754360000132,DKG TRANSPORTES LTDA ME
10759209000197,FC EXPRESS EIRELI ME
10795918000128,TRANSTIJ TRANSPORTES LTDA ME
10814694000154,DE LIMA SOLUCOES EM TRANSPORTES EIRELI
10818365000181,DRIGOR TRANSPORTES LTDA
10831856000162,TFA LOGISTICA LTDA
10866450000115,HOL TRANSPORTES LTDA
10914122000147,ALFALOG ARMAZENS GERAIS LTDA
10945146000163,JUBILO TRANSPORTES LTDA
10992167000130,METAR LOGISTICA LTDA
11036072000105,SONACIONAIS TRANSPORTES LTDA
11060858000168,SPMIX TRANSPORTES LTDA
11062339000139,CISPER EXPRESS LTDA
11113293000130,BIANCHINI LOGISTICA LTDA
11243428000181,MATEC TRANSPORTES LTDA
11264745000184,RISTHEA LOGISTICA E TRANSPORTE LTDA
11273955000139,ARLETE SERVICOS EM LOGISTICA EIRELI
11311133000103,Z TRANSPORTES LTDA
11319558000150,NAPOLI TRANSPORTES LTDA
11349276000104,NQX TRANSPORTES LTDA
11352038000140,QUIMERA TRANSPORTES LTDA
11358046000101,CROSSLOG TRANSPORTES LTDA
11389422000117,ABT LOG TRANSPORTES EIRELI
11393631000134,LUXTON BRASIL TRANSPORTES EIRELI
11412981000109,LOGMIX TRANSPORTES LTDA
11441387000138,TRANSBRITTO EXPRESS EIRELI
11460355000180,VIA CARGO TRANSPORTES LTDA
11469155000198,WAYLOG LOGISTICA EIRELI
11555452000156,OLIVEIRA CHAVES TRANSPORTES LTDA
11562825000116,DESTAC TRANSPORTES LTDA
11574156000100,TRES UNIDAS TRANSPORTES LTDA
11718595000131,ALAS TRANSPORTES EIRELI
11920739000138,SERTLOG TRANSPORTES E LOGISTICA LTDA
12062320000155,TRANS VMC TRANSPORTES EIRELI
12128014000174,RAVI TRANSPORTES EXPRESS LTDA
12135094000195,TRANS ELIX TRANSPORTES EIRELI
12163943000114,SEA TRANSPORTES LTDA
12163947000100,KGR TRANSPORTES LTDA
12220351000197,NOBRELOG TRANSPORTES LTDA
12223325000112,ZUMKEL TRANSPORTES E LOGISTICA LTDA
12223951000109,VEROTTO TRANSPORTES LTDA
12389978000176,MEGATRANS LOGISTICA LTDA
12458960000189,DOGA LOGISTICA E TRANSPORTES LTDA
12460878000199,FAST WAY TRANSPORTES EIRELI
12564459000105,PRESTO LOGISTICA EXPRESSA LTDA
12613474000198,SCUDERIA TRANSPORTES LTDA
12797256000150,RODOLEV TRANSPORTES LTDA
12823473000178,JLB TRANSPORTES LTDA
12898982000160,RITMO LOGISTICA SA
13092981000196,RMJ TRANSPORTES LTDA
13104585000131,TOLEDO EXPRESS LTDA
13148262000140,ZN LOG LOGISTICA E TRANSPORTES LTDA
13159790000102,AZ DE OURO TRANSPORTES LTDA
13252752000191,ONIX TRANSPORTES LTDA
13317875000163,JS TRANSPORTES LTDA
13324590000150,TALISMA TRANSPORTES EIRELI
13360577000156,LASER TRANSPORTES DE CARGAS LTDA
13468838000156,NOROESTE LOGISTICA LTDA
13483369000144,FAST LINE CARGAS E VIAGENS LTDA
13499422000103,INOVA EXPRESS LTDA
13516374000106,TRANS MSA LOGISTICA LTDA
13666822000158,MPA TRANSPORTES RODOVIARIOS EIRELI
